Annotation	n	depth	station
GO:0001123	3281	2	65
GO:0004160	3277	2	65
GO:0004834	3268	2	65
GO:0030983	3243	2	65
GO:0004672	3188	2	65
GO:0005634	3186	2	65
GO:0008324	3166	2	65
GO:0006515	3156	2	65
GO:0034605	3143	2	65
GO:0004471	3134	2	65
GO:0019752	3127	2	65
GO:0030955	3095	2	65
GO:0004540	3081	2	65
GO:0009190	3055	2	65
GO:0006231	3043	2	65
GO:0035556	3024	2	65
GO:0016747	3021	2	65
GO:0015969	3005	2	65
GO:0008661	2994	2	65
GO:0003883	2990	2	65
GO:0004815	2987	2	65
GO:0006422	2985	2	65
GO:0071897	2966	2	65
GO:0004013	2965	2	65
GO:0016743	2954	2	65
GO:0022900	2940	2	65
GO:0004360	2920	2	65
GO:0045727	2919	2	65
GO:0046677	2916	2	65
GO:0004148	2915	2	65
GO:0015940	2913	2	65
GO:1901137	2901	2	65
GO:0003911	2873	2	65
GO:0008863	2853	2	65
GO:0008080	2850	2	65
GO:0016831	2842	2	65
GO:0007059	2830	2	65
GO:0004333	2828	2	65
GO:0005315	2820	2	65
GO:0052865	2809	2	65
GO:0006268	2803	2	65
GO:0004824	2790	2	65
GO:0016597	2783	2	65
GO:0009982	2782	2	65
GO:0006430	2779	2	65
GO:0006275	2771	2	65
GO:0006098	2770	2	65
GO:0044237	2770	2	65
GO:0004372	2766	2	65
GO:0019264	2765	2	65
GO:0006006	2716	2	65
GO:0008750	2690	2	65
GO:0016117	2683	2	65
GO:0050897	2679	2	65
GO:0004802	2677	2	65
GO:0050560	2649	2	65
GO:0016868	2615	2	65
GO:0008173	2601	2	65
GO:0006270	2599	2	65
GO:0015562	2588	2	65
GO:0008186	2574	2	65
GO:0045239	2572	2	65
GO:0000272	2567	2	65
GO:0046654	2563	2	65
GO:0016462	2562	2	65
GO:0016773	2561	2	65
GO:0016151	2545	2	65
GO:0031071	2540	2	65
GO:0032977	2530	2	65
GO:0006813	2527	2	65
GO:0008643	2527	2	65
GO:0003922	2525	2	65
GO:0000902	2524	2	65
GO:0004825	2522	2	65
GO:0015035	2513	2	65
GO:0006106	2509	2	65
GO:0035596	2503	2	65
GO:0004450	2500	2	65
GO:0006119	2499	2	65
GO:0039693	2488	2	65
GO:0004478	2485	2	65
GO:0003857	2483	2	65
GO:0004019	2480	2	65
GO:0050136	2480	2	65
GO:0006556	2478	2	65
GO:0042910	2478	2	65
GO:0000271	2471	2	65
GO:0004326	2468	2	65
GO:0042450	2459	2	65
GO:0015995	2458	2	65
GO:0006431	2452	2	65
GO:0019867	2449	2	65
GO:0004181	2438	2	65
GO:0008134	2432	2	65
GO:0002949	2429	2	65
GO:0015990	2424	2	65
GO:0003688	2405	2	65
GO:0004827	2398	2	65
GO:0004180	2395	2	65
GO:0003937	2390	2	65
GO:0046855	2387	2	65
