Annotation	n
GO:0004174	400656
GO:0004795	399353
GO:0000107	399332
GO:0016788	392868
GO:0031119	388566
GO:0016628	387908
GO:0016992	387906
GO:0019509	387157
GO:0006401	386938
GO:0019430	385744
GO:0008760	385559
GO:0004494	385446
GO:0008081	385317
GO:0102552	385109
GO:0102553	385109
GO:0052654	384655
GO:0052655	384655
GO:0052656	384655
GO:0004637	384065
GO:0050797	383717
GO:0031072	383649
GO:0003985	380640
GO:0031317	380529
GO:0008479	379113
GO:0019277	378132
GO:0004325	377187
GO:0016260	377081
GO:0004491	376337
GO:0004073	376230
GO:0004674	375830
GO:0004047	375311
GO:0004618	374907
GO:0004412	374906
GO:0061711	374416
GO:0007165	373690
GO:0006751	372699
GO:0008915	371439
GO:0050048	371365
GO:0015079	369161
GO:0101030	368441
GO:0042274	367494
GO:0007156	367405
GO:0004066	363474
GO:0004329	363227
GO:0006529	363222
GO:0005829	363146
GO:0019684	362767
GO:0050992	362505
GO:0051992	360877
GO:0009425	360767
GO:0036374	360733
GO:0051116	359812
GO:0016903	359809
GO:0004633	359325
GO:0004632	358855
GO:0102953	358399
GO:0103068	358399
GO:0106311	356276
GO:0004357	356213
GO:0106310	355866
GO:0008495	355863
GO:0048034	355863
GO:0043023	354966
GO:0047456	354158
GO:0015942	352789
GO:0004641	351709
GO:0019104	351501
GO:0003866	350594
GO:0008763	350072
GO:0070180	349586
GO:0006779	348464
GO:0006741	348189
GO:0015379	345798
GO:0015941	345149
GO:0032784	344009
GO:0004488	343559
GO:0008836	343385
GO:0004601	342666
GO:0044209	339333
GO:0004743	339026
GO:0016639	337821
GO:0008235	337551
GO:0071266	337383
GO:0006072	337159
GO:0003938	336052
GO:0017000	334210
GO:0071586	333721
GO:0019556	333519
GO:0019557	332958
GO:0009156	332147
GO:0045275	332076
GO:0004659	330445
GO:0009102	330130
GO:0007155	330110
GO:0004152	329456
GO:0036440	328880
GO:0009307	328808
GO:1901135	328714
GO:0004318	328468
GO:0046656	328383
GO:0008239	327741
GO:0030060	323388
GO:0009326	323226
GO:0004347	323161
GO:0006417	322903
GO:0016631	321689
GO:0006808	320989
GO:0017061	320130
GO:0004477	319990
GO:0008276	318675
GO:0000103	318428
GO:0009103	317726
GO:0006015	316669
GO:0006221	316423
GO:0004523	315246
GO:0051745	314634
GO:0004350	313731
GO:0004048	311712
GO:0004414	311358
GO:0008852	310731
GO:0015648	309243
GO:0008948	309064
GO:0009253	307976
GO:0008987	307713
GO:0019674	307051
GO:0003979	306482
GO:0043714	306449
GO:0004664	306175
GO:0003856	305292
GO:0047480	305137
GO:0043953	304382
GO:0008765	304349
GO:0070573	304046
GO:0004400	303451
GO:0071705	302606
GO:0004499	302118
GO:0009094	296312
GO:0044780	295990
GO:0045277	295589
GO:0004521	295377
GO:0050487	294743
GO:0004639	294206
GO:0008703	292906
GO:0036068	292770
GO:0004451	292574
GO:0004812	292426
GO:0004349	292361
GO:0008745	292122
GO:0046854	290743
GO:0008320	290605
GO:0004655	290028
GO:0033281	289986
GO:0031460	289317
GO:0006065	288905
GO:0051205	288692
GO:0009331	288204
GO:0070615	288178
GO:0070814	287602
GO:0004781	285518
GO:0008976	285501
GO:0019529	284496
GO:0004324	284096
GO:0003910	282599
GO:0004612	281688
GO:0003844	280659
GO:0009039	280535
GO:0033817	280282
GO:0009014	279468
GO:0008113	279054
GO:0004853	277373
GO:0009507	277333
GO:0003864	276893
GO:0008998	275573
GO:0006784	275025
GO:0008641	274301
GO:0003774	274255
GO:0008839	273251
GO:0018580	272425
GO:0070084	271760
GO:0006508	271408
GO:0033744	270739
GO:1904680	269906
GO:0030001	269510
GO:0010133	269244
GO:0008840	267849
GO:0004617	267661
GO:0003729	267192
GO:0008853	266998
GO:0008977	266663
GO:0042803	266411
GO:0006571	266310
GO:0004665	266299
GO:0009063	265517
GO:0008446	264783
GO:0004042	264602
GO:0008531	263877
GO:0008612	263411
GO:0019673	262980
GO:0004300	262858
GO:0070401	262768
GO:0004358	261887
GO:0015655	261202
GO:0103045	260744
GO:0043419	260412
GO:0008759	259642
GO:0052855	259581
GO:0006486	259543
GO:0051920	258562
GO:0016636	257973
GO:0003842	257880
GO:0009398	257330
GO:0004514	257093
GO:0016041	256522
GO:0103117	256211
GO:0050218	254650
GO:0043811	254505
GO:0008773	253337
GO:0006177	253078
GO:0071709	252749
GO:0009288	251976
GO:0003934	251290
GO:0009358	251077
GO:0006799	251072
GO:0008764	251008
GO:0006750	250214
GO:0006048	250203
GO:0030604	249339
GO:0035435	248794
GO:0005634	248695
GO:0006081	248409
GO:0047150	248275
GO:0004473	247653
GO:0035998	247385
GO:0008883	247166
GO:0070402	247104
GO:0008184	244931
GO:0042286	244851
GO:0031226	242749
GO:0004418	242665
GO:0019685	242647
GO:0042132	242472
GO:0006086	242174
GO:0044571	241971
GO:0008234	241404
GO:0015424	241156
GO:0030729	241129
GO:0046496	240044
GO:0000286	239613
GO:0009536	239160
GO:0042853	238896
GO:0004149	238810
GO:0052906	238480
GO:0015627	238265
GO:0106312	237889
GO:0106313	237889
GO:0000270	237821
GO:0042372	237580
GO:0006102	237270
GO:0004317	237168
GO:0008659	237148
GO:0008693	237148
GO:0047451	237148
GO:0003919	236484
GO:0006747	236272
GO:0004370	235556
GO:0016813	235169
GO:0004316	235049
GO:0004794	234546
GO:0052547	234139
GO:0016651	234013
GO:0102250	233899
GO:0102499	233899
GO:0015628	233713
GO:0102131	233628
GO:0102132	233628
GO:0008716	232911
GO:0008961	232838
GO:0045252	232236
GO:0052856	231998
GO:0052857	231998
GO:0008271	231196
GO:0030259	230559
GO:0008859	229917
GO:0008835	229576
GO:0017150	228768
GO:0003725	228668
GO:0003992	228379
GO:0032324	227431
GO:0009767	227401
GO:0033512	227105
GO:0004479	225808
GO:0003942	225329
GO:0004644	225278
GO:0004764	225233
GO:1904047	225033
GO:0004156	224436
GO:0006596	223994
GO:0030091	223635
GO:0016075	223194
GO:0003879	222749
GO:0046537	222637
GO:0003935	222450
GO:0008409	221845
GO:0006011	221793
GO:0102752	221732
GO:0004424	221554
GO:0031470	220553
GO:0004124	219729
GO:0004638	219655
GO:0004190	219516
GO:0071424	219232
GO:0008817	218715
GO:0016702	218279
GO:0008676	218117
GO:0034028	216758
GO:0004121	216574
GO:0006220	216528
GO:0036430	216215
GO:0036431	216215
GO:0015420	215611
GO:0004425	215408
GO:0019441	214861
GO:0004657	214030
GO:0015417	213567
GO:0039693	212132
GO:0102264	211505
GO:0003949	211408
GO:0099000	211050
GO:0008762	210807
GO:0016830	210713
GO:0006527	210546
GO:0061599	210002
GO:0006308	209388
GO:0004590	208813
GO:0016730	208812
GO:0004314	208685
GO:0008933	208297
GO:0006226	208009
GO:0008934	207823
GO:0008444	207449
GO:0019134	205468
GO:0003977	204904
GO:0004852	202898
GO:0052832	201990
GO:0052833	201990
GO:0016726	201597
GO:0050511	201596
GO:0070040	201389
GO:0009973	201199
GO:0030435	201102
GO:0046873	200820
GO:0004648	200615
GO:0004363	200299
GO:0009898	200098
GO:0008829	200023
GO:0051991	199955
GO:0042732	199934
GO:0004467	199382
GO:0004017	199353
GO:0043169	199299
GO:0004040	199286
GO:0005247	199276
GO:0006821	199273
GO:0008734	199098
GO:0003983	198267
GO:0006555	197246
GO:0008837	197115
GO:0015948	195562
GO:0046523	195496
GO:0004413	195453
GO:0004106	195219
GO:0009244	194883
GO:0009030	194085
GO:0008152	194064
GO:0004750	193837
GO:0006354	193643
GO:0003871	193548
GO:0006007	192419
GO:0003991	192396
GO:0051087	192143
GO:0004525	192041
GO:0004576	191960
GO:0019310	191863
GO:0008534	191739
GO:0019284	191554
GO:0008784	191363
GO:0004592	190652
GO:0042834	190393
GO:0004854	190020
GO:0004766	189310
GO:0008685	189131
GO:0008855	189035
GO:0003872	188906
GO:0009318	188568
GO:0015205	188446
GO:0004364	187486
GO:0009316	187004
GO:0004367	186680
GO:0052381	186380
GO:0008253	185749
GO:0004742	185126
GO:0045254	184815
GO:0051304	184788
GO:0006002	184673
GO:0002935	184388
GO:0004045	184325
GO:0008792	183572
GO:1990107	183383
GO:0044318	183270
GO:0006525	183117
GO:0004029	183034
GO:0004588	182460
GO:0045226	181902
GO:0006811	181664
GO:0004345	180925
GO:0016051	180904
GO:0006885	180845
GO:0016052	180775
GO:0006561	180494
GO:0050380	180462
GO:0016311	180457
GO:0004807	180149
GO:0033743	180013
GO:0006418	179659
GO:0045910	179373
GO:0010033	179186
GO:0000178	179170
GO:0009029	178196
GO:0043770	178195
GO:0102027	178195
GO:0102094	178195
GO:0102955	178195
GO:0000774	177886
GO:0004298	177823
GO:0042586	177159
GO:0001514	176684
GO:0004585	176209
GO:0033818	175612
GO:0009254	175412
GO:0016763	175008
GO:0000725	174947
GO:0009338	174596
GO:0003724	174132
GO:0006415	174123
GO:0019521	174061
GO:0046168	173897
GO:0004798	173832
GO:0006397	173677
GO:0043758	173533
GO:0032300	173299
GO:0008097	172807
GO:0030089	172328
GO:0016042	172005
GO:0052908	171173
GO:0003904	170504
GO:0019632	170126
